experiment_id,epoch,model,plantdoc_oversample_factor,train_loss,train_f1,train_acc,val_loss,val_f1,val_acc,best_val_f1,is_dry_run
20260914_153231,1,efficientnet_b2,5.0,0.2137,0.9257,0.9408,0.1392,0.9524,0.9637,0.9524,False
20260914_154459,1,efficientnet_b2,5.0,0.2137,0.9257,0.9408,0.1392,0.9524,0.9637,0.9524,False
20260914_154459,2,efficientnet_b2,5.0,0.0498,0.9816,0.9843,0.1632,0.9481,0.9602,0.9524,False
20260914_154459,3,efficientnet_b2,5.0,0.0294,0.9905,0.9917,0.1739,0.9514,0.963,0.9524,False
20260914_154459,4,efficientnet_b2,5.0,0.0232,0.9923,0.9931,0.2032,0.9449,0.9589,0.9524,False
20260914_154459,5,efficientnet_b2,5.0,0.0177,0.9945,0.9951,0.1984,0.9483,0.9609,0.9524,False
20260914_154459,6,efficientnet_b2,5.0,0.0178,0.9937,0.9943,0.2058,0.9497,0.9628,0.9524,False
20260914_154459,7,efficientnet_b2,5.0,0.013,0.9952,0.9958,0.1965,0.9488,0.9616,0.9524,False
20260914_154459,8,efficientnet_b2,5.0,0.0114,0.9963,0.9966,0.2122,0.9477,0.9623,0.9524,False
20260914_154459,9,efficientnet_b2,5.0,0.0097,0.9965,0.9968,0.2304,0.9456,0.9584,0.9524,False
20260914_154459,10,efficientnet_b2,5.0,0.0102,0.9965,0.9968,0.2235,0.9498,0.9637,0.9524,False
20260914_154459,11,efficientnet_b2,5.0,0.0088,0.997,0.9971,0.2158,0.9521,0.9651,0.9524,False
20260914_154459,12,efficientnet_b2,5.0,0.0071,0.9974,0.9975,0.2042,0.9509,0.9653,0.9524,False
20260914_154459,13,efficientnet_b2,5.0,0.0051,0.9978,0.9979,0.2403,0.9473,0.9621,0.9524,False
20260914_154459,14,efficientnet_b2,5.0,0.0062,0.9974,0.9976,0.2234,0.9511,0.9651,0.9524,False
20260914_154459,15,efficientnet_b2,5.0,0.0051,0.9979,0.9981,0.2364,0.951,0.9653,0.9524,False
20260914_154459,16,efficientnet_b2,5.0,0.0032,0.9987,0.9987,0.2237,0.9533,0.9672,0.9533,False
20260914_154459,17,efficientnet_b2,5.0,0.0032,0.9986,0.9987,0.2312,0.9555,0.9686,0.9555,False
20260914_154459,18,efficientnet_b2,5.0,0.0029,0.9988,0.9988,0.2367,0.9541,0.9663,0.9555,False
20260914_154459,19,efficientnet_b2,5.0,0.0036,0.9984,0.9984,0.2338,0.9541,0.9674,0.9555,False
20260914_154459,20,efficientnet_b2,5.0,0.0026,0.9987,0.9987,0.2421,0.9532,0.967,0.9555,False
20260914_154459,21,efficientnet_b2,5.0,0.0025,0.9989,0.9989,0.2443,0.9513,0.9658,0.9555,False
20260914_154459,22,efficientnet_b2,5.0,0.0024,0.9989,0.9989,0.2486,0.9517,0.966,0.9555,False
20260914_154459,23,efficientnet_b2,5.0,0.0025,0.9986,0.9987,0.2491,0.9541,0.9672,0.9555,False
20260914_154459,24,efficientnet_b2,5.0,0.0023,0.9987,0.9987,0.2463,0.9535,0.9672,0.9555,False
20260914_154459,25,efficientnet_b2,5.0,0.0018,0.9992,0.9993,0.2473,0.9521,0.9665,0.9555,False
